item,milliseconds
compile inner,947.646188
prove() -> initBlindingPolynomials,0.628131
"solveConstraints() || s.spr.Solve() (L, R, O)",1785.145247
"solveConstraints() || sets x[id_L], x[id_R], x[id_O]",0.009111
commitToPolyAndBlinding() -> commit to p,2103.239861
commitToPolyAndBlinding() -> commit to b,0.457582
commitToPolyAndBlinding() -> commit_p + commit_b,0.005337
"commitToLRO() || commitToPolyAndBlinding(s.x[id_R], s.bp[id_Br]) LRO[1]",2315.243876
"commitToLRO() || commitToPolyAndBlinding(s.x[id_O], s.bp[id_Bo]) LRO[2]",2115.231544
"commitToLRO() || commitToPolyAndBlinding(s.x[id_L], s.bp[id_Bl]) LRO[0]",2315.383683
solveConstraints() || commitToLRO(),2315.539391
prove() -> solveConstraints,4100.715536
prove() -> completeQk,4100.68613
prove() -> deriveGammaAndBeta,4100.774152
"buildRatioCopyConstraint() || commitToPolyAndBlinding(s.x[id_Z], s.bp[id_Bz])",2103.72701
prove() -> buildRatioCopyConstraint,6922.109841
computeNumerator() || fft.BitReverse(scalingVectorRev),67.832834
computeNumerator() || polynomial fft,1780.76646
computeNumerator() || batchApply,3848.512232
computeQuotient() || computeNumerator(),19318.877093
divideByZH() || parallelize divide,509.501226
divideByZH() || ToCanonical,1153.214908
computeQuotient() || divideByZH(),1662.848945
computeQuotient() || commitToQuotient(),5851.996221
computeQuotient() || deriveZeta() and clean up,0.075987
prove() -> computeQuotient,33774.348731
prove() -> openZ,36022.460615
"computeLinearizedPolynomial() || kzg.Commit(s.linearizedPolynomial, s.pk.Kzg, runtime.NumCPU()*2)",2098.624303
computeLinearizedPolynomial() 总,38571.136319
prove() -> computeLinearizedPolynomial,38571.139448
prove() -> batchOpening,40767.980936
prove() -> prove() 总,41734.927031
prove inner,964.087307
verify inner,4.002187
assemble Poseidon2-FS inputs,1.228888
compile outer(frontend.Compile),2692.355477
solve outer,1671.301551
compile outer(pkOuter.Compile),14675.86752
prove outer,44081.855037
verify outer,2.293766
